Name,FieldTime,FID,Shape Area,LavaFlow
7/8/21/24,3-Jun-18,515,426668.6484,LavaFlow
7/8/21/24,3-Jun-18,516,616670.8534,LavaFlow
7/8/21/24,3-Jun-18,517,107233.9697,LavaFlow
7/8/21/24,3-Jun-18,518,410049.9254,LavaFlow
7/8/21/24,3-Jun-18,519,270402.9652,LavaFlow
7/8/21/24,3-Jun-18,520,785.6619362,LavaFlow
7/8/21/24,3-Jun-18,521,495.6553586,LavaFlow
7/8/21/24,3-Jun-18,522,2010.56336,LavaFlow
7/8/21/24,3-Jun-18,523,2281.323434,LavaFlow
7/8/21/24,3-Jun-18,524,5111.856564,LavaFlow
7/8/21/24,3-Jun-18,525,10868.60729,LavaFlow
7/8/21/24,3-Jun-18,526,885.2505621,LavaFlow
7/8/21/24,3-Jun-18,527,21271.71241,LavaFlow
7/8/21/24,3-Jun-18,528,63198.80793,LavaFlow
7/8/21/24,3-Jun-18,529,9907.645059,LavaFlow
7/8/21/24,3-Jun-18,530,40025.05174,LavaFlow
7/8/21/24,3-Jun-18,531,2494.238128,LavaFlow
7/8/21/24,3-Jun-18,532,3968.56544,LavaFlow
7/8/21/24,3-Jun-18,533,25759.64788,LavaFlow
7/8/21/24,3-Jun-18,534,825.2668191,LavaFlow
7/8/21/24,3-Jun-18,535,1104.361751,LavaFlow
7/8/21/24,4-Jun-18,536,55478.47266,LavaFlow
