objectid,type,name,managedby,island,gis_acre
86,fr,KOOLAU FOREST RESERVE,DOFAW,Maui,31059.06131
87,shs,HALEKII-PIHANA HEIAU STATE HISTORIC SITE,DOSP,Maui,8.78676303
88,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,78.33061345
89,ws,KANAHA POND WILDLIFE SANCTUARY,DOFAW,Maui,231.4963934
90,nar,WEST MAUI NATURAL AREA RESERVE (PANAEWA SEC),DOFAW,Maui,1677.89639
91,sm,IAO VALLEY STATE MONUMENT,DOSP,Maui,6.44776348
206,ws,KAPAPA ISLAND SEABIRD SANCTUARY,DOFAW,Oahu,9.02144309
92,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,383.4183729
95,ws,PAUWALU POINT WILDLIFE SANCTUARY,DOFAW,Maui,11.10702761
96,nar,WEST MAUI NATURAL AREA RESERVE (LIHAU SEC),DOFAW,Maui,923.067008
97,sw,WAILUA VALLEY STATE WAYSIDE,DOSP,Maui,1.25418297
93,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,7334.244768
98,wr,WAIHEE COASTAL DUNES AND WETLANDS REFUGE,Maui Coastal Land Trust,Maui,288.6990456
99,fr,KOOLAU FOREST RESERVE,DOFAW,Maui,38.14601272
132,tnc,KAMEHAME PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,31.57701879
100,tnc,WAIKAMOI PRESERVE (NATURE CONSERVANCY),TNC,Maui,5141.010444
101,nar,HANAWI NATURAL AREA RESERVE,DOFAW,Maui,7723.969645
102,sp,WAIANAPANAPA STATE PARK,DOSP,Maui,101.9324582
103,fr,HANA FOREST RESERVE,DOFAW,Maui,13124.2508
104,np,HALEAKALA NATIONAL PARK,USNPS,Maui,33672.73233
108,nar,AHIHI-KINAU NATURAL AREA RESERVE,DOFAW,Maui,2067.161154
109,sm,KOHALA HIST. SITES STATE MONUMENT (MO'OKINI HEIAU),DOSP,Hawaii,3.29876412
110,sm,KOHALA HIST.SITES S. M. (KAMEHAMEHA I BIRTH PLACE),DOSP,Hawaii,0.54918763
105,fr,KAHIKINUI FOREST RESERVE,DOFAW,Maui,2202.998351
106,fr,KIPAHULU FOREST RESERVE,DOFAW,Maui,94.14445899
107,sp,MAKENA STATE PARK,DOSP,Maui,168.3785293
111,sm,KOHALA HIST. SITES ST. MONUMENT (KUKUIPAHU HEIAU),DOSP,Hawaii,3.29804813
112,fr,KOHALA FOREST RESERVE (POLOLU SEC.),DOFAW,Hawaii,1680.544727
133,fr,HAMAKUA FOREST RESERVE (HANAPAI SEC.),DOFAW,Hawaii,152.8119848
113,shp,LAPAKAHI STATE HISTORICAL PARK,DOSP,Hawaii,271.6321764
114,fr,MALAMA KI FOREST RESERVE,DOFAW,Hawaii,1447.452176
115,sra,MACKENZIE STATE RECREATION AREA,DOSP,Hawaii,12.85517722
116,gma,KAPAPALA COOPERATIVE GAME MANAGEMENT AREA,DOFAW/Private,Hawaii,28427.6908
117,fr,KEAUOHANA FOREST RESERVE,DOFAW,Hawaii,274.4520781
121,np,HAWAII VOLCANOES NATIONAL PARK,USNPS,Hawaii,358321.6824
134,fr,HAUOLA FOREST RESERVE,DOFAW,Hawaii,9.36589058
118,nhp,PUU HONAU O HONAUNAU NATIONAL HISTORICAL PARK,USNPS,Hawaii,420.1439708
